,2B,A1,A2,A3,A4,B1,B3,C2
2.0,7388,7350,8287,7197,7274,8169,7464,7464
3.0,7418,7380,8320,7211,7304,8202,7494,7494
4.0,7448,7409,8353,7256,7333,8235,7524,7524
