,A,B,C,D,E,F,G,H,J,K,L,M,N
14.0,867,791,515,906,728,501,377,504,638,522,307,306,379
36.0,658,791,515,906,728,348,377,520,638,522,307,306,379
57.0,495,1086,515,906,501,519,377,638,484,522,307,460,379
