,A,B,C,D,E,F,G,H,J,K,L,M,N
16.0,860,862,452,460,597,594,595,717,485,550,540,880,599
30.0,860,862,452,460,597,594,595,717,485,550,540,880,599
46.0,860,862,452,460,597,594,595,717,485,550,540,880,599
