,EATON HSE,EATON HSE 2,EATON HSE 3,EATON HSE 7,EATON HSE 8,FULHAM HSE 2,FULHAM HSE 3,FULHAM HSE 6,FULHAM HSE 7,FULHAM HSE 8,FULHAM HSE 9,VICTORIA HSE 2,VICTORIA HSE 3,VICTORIA HSE 6,VICTORIA HSE 7,VICTORIA HSE 8,WINDSOR HSE 3,WINDSOR HSE 6,WINDSOR HSE 7,WINDSOR HSE 8
2.0,,,,1611,1611,,,,,,,1051,959,959,959,959,654,976,976,976
6.0,,,,1611,1611,,,,,,,1051,959,959,959,959,654,976,976,976
8.0,,,,1611,1611,,,,,,,1051,959,959,959,959,654,976,976,976
