,A,B,C,D,E,F,G
6.0,5964236,6130230,6153996,5971440,5971440,6053340,5986935
14.0,6057926,6309174,6469245,5555830,6065265,6251856,6174267
23.0,6418112,6402141,6667761,5595445,6291835,6482526,6429402
