,A,B,C,D,E,F,G,H,J
5.0,10024774,6875685,7009400,10792575,7238031,6585966,7224023,6483092,8860175
8.0,10667300,7213050,7651356,11801025,7033078,6963042,7345910,6615400,9141350
12.0,11260688,7456455,7705088,12789225,7217492,7029372,7556060,6824144,9557650
