,1,10,11,12,13,14,15,2,3,5,7,8,9
2.0,3795673,3736761,4047228,3949452,3831648,3494649,3810141,7415430,3860298,3860298,7797608,3951310,4379360
5.0,3852919,3792936,4108350,4009122,3889430,3538140,3867735,7527210,3918434,3918434,7914816,3969636,4445616
8.0,3910165,3849432,4169472,4068792,3947546,3588498,3925329,7638990,3976570,3976570,8032752,4067624,3667512
