,A,A-C,B,C,D,E,F,G,H
5.0,15121,,15195,14653,14827,14783,15191,14770,15310
12.0,15812,,15921,15187,15487,15442,15858,15413,16004
20.0,16886,,16766,17066,16914,16950,16698,16521,16833
