,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
5.0,9904,10277,10314,10544,10458,10023,9967,10544,10544,10544,10263,10415,10420,10420,10415
8.0,10103,10484,10521,10755,10675,8571,10115,10755,10755,10755,10470,10624,10630,10630,10624
10.0,10236,10621,10659,10897,10809,10897,10304,10897,10897,10897,10607,10763,10476,10769,10763
