,A,B,C,D,F,G,whole floor
3.0,4468659,4373080,4377204,5476048,4311450,2973996,2973996
8.0,4610358,4511292,4455882,5651868,4447872,3068526,4626897
12.0,4723449,4622036,4562478,5791928,4557267,3144150,4739988
