,A,B,C,D,E,F,G,H,J
8.0,7461814,12052098,11447228,7764812,8020089,8436988,5066255,11046128,7442223
18.0,7275780,12474153,12718472,7993260,8077791,8819496,5308828,11799746,7089679
28.0,7561162,13006764,12538266,7926468,8238183,9157848,5574657,12341273,7887214
