,A4,A5,A6,A7,A8,A9,B3,B6,B7,C1,C7,C8
2.0,619,617,593,509,478,422,339,187,185,460,368,368
4.0,619,617,593,509,478,422,339,187,185,460,368,368
7.0,619,617,593,509,478,422,339,187,185,460,368,368
