,1,10A,2,3,4,4A,5A,7,8,A,B,C,whole floor
3.0,8736,8736,9534,8452,9283,9424,9542,8719,8502,8719,,8194,9673
8.0,8995,8995,9836,8743,9587,9723,9844,8978,8405,8978,,8470,9639
13.0,9249,9249,10148,9033,9892,10030,10157,9232,9359,9232,,8746,10240
