,A,B,C,D,E,F,G,H,J,K,L,M
9.0,15911,16114,15651,15762,15759,15559,15098,16164,17156,15785,14856,17057
16.0,17468,17325,17628,16730,16736,17031,16665,17446,18057,17165,16675,18154
21.0,18578,18164,18309,17995,19767,18260,17764,19322,19975,18364,17866,19725
