,D2,D3,E2,E3,E5,whole floor
2.0,1618488,5067600,3653964,1337385,1153500,9070717
4.0,1640259,5132400,3702402,1355433,1169250,5076000
6.0,1661853,5198400,3750840,1373481,1184850,9286664
