,A,B,C,D,E,F,G,H,I,J
3.0,11508,11508,11447,11155,11453,11508,11311,11426,11630,10952
6.0,11687,11687,11625,11311,11631,11687,11491,11604,11810,11262
10.0,11923,11923,11861,11530,11867,11923,12051,11840,12049,11500
