,A,AB,B,C,D,DE,E,F,F & G,G,G & H,H
5.0,8114250,12902365,8157020,8942850,6759000,12170905,8070585,,10075000,,9859080,7362215
10.0,8486250,13493830,8530745,9353400,7069200,12729080,8441595,,10537000,,10312070,7700035
14.0,8784000,13967905,8830480,9681500,7317000,13175620,9724770,8166570,10907000,,10673880,7970690
