,1,2,3,4,5,6,7,8,B1,B2,B3,B6,B7,B8
4.0,4560554,4633560,5706582,5706582,4549716,4549716,5706582,5706582,4708254,4571948,5699029,4466492,5668817,5553779
10.0,4668586,4751298,5836726,5836726,4472672,4665488,5836726,5836726,4825570,4601910,5829754,4575672,5786760,5690895
15.0,4794342,4846670,5820458,6045886,4759424,4759424,6045886,6045886,4865238,4686310,6026132,4699272,5994177,5805933
