,A,B,C,D,E,F,G,H,J,K,L,M
3.0,12378,9902,12139,12014,9718,12119,12213,9756,11147,12028,11904,12134
6.0,12274,10049,12074,12240,9958,12298,12391,9927,11318,11984,11889,12315
10.0,12517,10245,12351,12483,10152,12542,12636,10121,11805,12423,12128,12561
