,1,10,2,3,4,5,6,7,8,9
3.0,13462,13070,13503,13336,12927,13375,13303,13251,13336,13063
8.0,13984,13591,14044,13872,13467,13894,13849,13798,13872,13608
13.0,14540,14139,14608,14432,14015,14448,14415,14311,14432,14159
