,1,2,3,4,5,6,7,8,A1,A2,A3,A5,A7,A8
4.0,10340,10340,8563,10030,10403,10403,10030,9938,9997,10451,8419,10438,9822,9885
10.0,10599,10599,8754,10270,11150,10664,10270,10018,10253,10711,8606,10701,10069,9912
15.0,10799,10799,10150,10174,10857,10857,10174,10149,10445,10911,8771,11134,10277,10158
