,1,2,A1,A2,B1,B2
1.0,13028115,13028115,13028115,13028115,12818874,13028115
2.0,13081206,13081206,13081206,13081206,13081206,13081206
3.0,13134297,13134297,13134297,13134297,13134297,14736396
