,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,4,5,6,7,8,9
3.0,2884690,4168920,4349104,4002930,4479072,4300330,4659000,3937155,3255264,4080702,4473870,3592992,4024926,3498940,2681535,2988700,3399891,3353200,3411200,2650912,3163416,4520400,3112033,2693072,3427600,3950400,3567200,2805780,2767392,4926168,3192840,4061332,4631306,4525530,3676930
8.0,2930135,4309550,4027725,3654075,4633584,4226742,4405743,3480202,3363087,4210146,4677000,3600714,4158963,3661632,2765805,3108130,3588552,3462400,3636800,2730608,3269148,4677000,3216035,2774672,3541200,3997600,3679200,3380960,3236004,5093748,3299400,4196774,4397760,3924450,3770670
12.0,3003945,4418820,3157110,3747865,3787980,3667275,3617702,3174822,3449193,4123308,4800000,3694380,4268196,3755648,3269910,3003945,3530625,3552400,3614800,2810032,3269910,4635968,3301191,2715960,3638000,4020800,3666438,3010318,2902610,5228496,3386880,4306670,3230340,4025250,3867420
