,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,14538,14760,15724,15897,15191,16047,15459,16190,14536,15417,16362,14178,14907,17305,16714
30.0,15481,15792,17349,16423,16257,17130,16806,16784,15594,15564,17170,14972,15599,17012,17075
47.0,16752,16592,17764,17413,17614,17554,17574,17977,16799,17558,17720,17044,17396,17424,18204
