,6B,6D,6E,6G,6H,A,B,C,D,E,F,G,H
6.0,488,622,622,502,622,622,488,488,622,622,502,502,622
13.0,488,622,622,502,622,622,480,488,622,622,502,502,622
20.0,488,622,622,502,622,622,488,488,622,622,502,502,622
