,1,11,12B,13B,14,15,17,18,19,21A,21B,22,24,3,4B,7,8,9
9.0,381,443,263,263,443,443,485,443,443,217,263,443,381,443,263,443,485,485
19.0,381,443,263,263,443,443,485,443,443,217,263,443,381,443,263,443,485,485
30.0,381,443,263,263,443,443,485,443,443,217,263,443,381,443,263,443,485,485
