,A,B,C,D,E,F,G,GH,H
6.0,1121,1021,871,917,917,871,1021,2142,1121
14.0,1121,1021,871,917,917,871,1021,2142,1121
23.0,1121,1021,871,917,917,871,1021,2142,1121
