,A,B,C,D,E,F,G,H,J,K
7.0,5093568,5093568,5002992,5093568,3759182,5616336,5237424,5093568,5583963,3727719
20.0,6775440,6966064,5181184,6966064,3873828,4301308,6982048,6966064,4306911,3840641
32.0,6972576,5395488,5400224,5395488,3990629,4430536,7257328,5395488,4437804,3957442
