,A,AB,B,C,D,E,F,G,H
5.0,,11352991,9775552,8502162,6464997,6524408,8025193,7932120,8899794
10.0,,11653566,10034464,8733422,6640284,6663852,8214602,8136450,9087210
18.0,,11907142,10211712,8952000,6983002,6746831,8757771,8442210,9295176
