,A,B,C,D,E,F,G,H,J,K,L,M
7.0,13288,12897,12793,12897,12897,12889,12701,12893,12733,12723,12585,13268
12.0,13787,13389,13283,13389,13389,13389,13593,13370,13225,13356,13065,13665
16.0,14036,13498,13673,14177,13782,13578,13981,13763,13641,13702,13448,14086
