,A,B,C,D,E,F,G,H,J,K,L
6.0,9605,11116,11157,10332,10285,9833,10362,11025,10230,10722,10825
12.0,9842,11296,11371,10615,10463,10058,10530,11178,10509,10903,11143
19.0,10136,11323,11564,10936,10624,9941,10325,11209,11051,10097,11404
