,A,A & B,B,C,C & D,D,E,EF,F,G,GH,H
5.0,9603037,14321250,7620678,7783542,13809730,10006960,8717648,13768330,6964507,6886440,14281484,9402520
14.0,10141504,15127059,7934922,8219412,14585340,10479616,9182736,14541940,7529071,7416882,15084128,9968774
23.0,10716019,16001610,8391672,8751852,15427500,10783712,9680160,15380620,8141199,7717776,15957780,10524514
