,A,B,C,E,F,G,H,I,J
5.0,11888,11812,12027,12166,11900,11917,12017,11904,12000
8.0,12181,12034,12267,12404,12154,12136,12251,12130,12239
11.0,12423,12378,12507,12642,12446,12353,12485,12363,12375
