,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
9.0/F低層A,9.0,低層,A,11903112,12636,942,323,3,NMOS
18.0/F中層A,18.0,中層,A,12541788,13314,942,394,4,NMOS
26.0/F高層A,26.0,高層,A,13007136,13808,942,383,4,NMOS
9.0/F低層B,9.0,低層,B,11571808,13646,848,335,3,NMOS
18.0/F中層B,18.0,中層,B,11589616,13667,848,400,3,NMOS
26.0/F高層B,26.0,高層,B,12100960,14270,848,334,3,NMOS
9.0/F低層C,9.0,低層,C,9481836,12796,741,380,3,NMOS
18.0/F中層C,18.0,中層,C,10084269,13609,741,401,3,NMOS
26.0/F高層C,26.0,高層,C,10153923,13703,741,331,3,NMOS
9.0/F低層D,9.0,低層,D,8713278,13083,666,358,4,NMOS
18.0/F中層D,18.0,中層,D,8963028,13458,666,320,3,NMOS
26.0/F高層D,26.0,高層,D,9366624,14064,666,342,3,NMOS
