,A,B,C,D,E,F,G,H,J,K
5.0,5531064,5594400,5709840,5531064,4291467,4699640,5594400,5594400,4691896,4220352
12.0,5685824,5751280,5784432,5685824,4409561,4706416,5751280,5751280,4821608,4340170
18.0,5819560,5886848,5920592,5819560,4511277,4814348,5886848,5886848,4933412,4495330
