,A,B,C,D,E,F,G,H,I,J
6.0,6412350,6412350,6421424,4813672,5205509,6412350,6412350,5156431,4845750,6421424
16.0,6037656,6723216,6732816,5046448,5475901,6723216,6723216,5402747,5169084,6732816
27.0,6318972,7084908,7095120,5312720,5775925,7084908,7084908,5687492,5271324,7095120
