,1,10,11,12,13,14,1404,15,1517,16B,17,18,19,1A,1B,1B & 1C,1B1C,2,2203,3,4,5,6,7,8,9,9A
14.0,7008315,4521585,4924430,4746280,6011700,3772560,5929920,3794952,6187160,1971520,6187160,5647827,4477774,6369770,4226880,7143236,7143236,5910231,7528255,6079226,4600230,6460125,6060960,6021736,3545345,4336500,3971040
18.0,6254275,4679895,4945320,4870096,5882400,3874640,6088320,3897755,6352080,2914384,6352080,4702064,3449535,6540410,4341630,7337548,7337548,6067254,7734300,6241200,6088320,6632395,6222144,6182482,3642040,4454100,4079040
23.0,,4831830,5023296,5019168,6065028,3993440,6278400,4016693,6551200,3004980,6551200,4845634,3556580,6119366,4473720,7565456,7565456,8498196,7974855,7759700,8047473,4852764,4165750,8173620,7180140,4589550,4203360
