,1,2,3,4,5,6,7,8,B1,B2,B3,B4,B5,B6,B7,B8
5.0,213,263,274,213,213,284,284,213,213,263,274,213,213,284,284,213
14.0,213,263,274,213,213,284,284,213,213,263,274,213,213,284,284,213
23.0,213,263,274,213,213,284,284,220,213,263,274,213,213,284,284,213
