,A1,A2,A3,B1,B2,B3,B4,B5,C,D
4.0,13520,13707,13628,13418,13764,14434,13807,13686,13503,13592
7.0,13767,13771,13877,13663,14018,14692,14056,13936,13749,13840
10.0,14015,14069,14128,13909,14273,14957,14308,14188,13998,14090
