,B,C,D,E,E-F,F,G,H,I,K,L
2.0,555,410,410,590,,440,429,390,610,610,450
3.0,555,410,410,590,,440,429,390,610,610,450
4.0,555,410,410,590,,440,429,390,610,610,450
