,LA,LB,LC,LD,RA,RB,RC,RD
20.0,12853,13014,10479,12356,12118,12159,9797,10891
40.0,12103,11685,11395,13171,12909,12302,11217,11243
61.0,12266,12355,12647,13924,12909,12274,11973,12040
