,2,3,4,G,H,I,J,K,L
6.0,8056,8141,8118,8001,8056,8065,8001,8461,7966
11.0,8232,8308,8294,8176,8232,8241,8176,8644,8139
16.0,8407,8476,8471,8349,8407,8416,8349,8810,8309
