,A,B,D,E,F,G,H
4.0,5965804,4090680,4250820,4128403,6229292,3727676,4114905
6.0,6029348,4144932,4379580,4183189,6305456,3776448,4169294
9.0,5529600,4225320,4105900,4264177,6388825,3848004,4231240
