,A,B,C,D,E,F,G,H,J,K,L,M
8.0,5152836,4967792,5911641,4693227,5569596,5534550,5026424,5673272,5701003,4730979,5821920,5660480
20.0,5643880,5288360,5739811,4848774,5529248,5176323,4801280,5978144,5677826,4834851,5519816,5727607
33.0,5578742,6237621,6445145,4975888,6029407,5941132,5532404,6224524,6300695,4857633,6416752,5980174
