,A,B,C,D,E,F,G,H,I,J,K,M,N,O,P,Q
4.0,487,445,445,445,445,445,445,445,445,445,445,392,351,481,317,592
8.0,487,445,445,445,445,445,445,445,445,445,445,392,351,481,317,592
12.0,487,445,445,445,445,434,445,434,445,445,437,392,351,481,317,592
