,A,B,C,D,E,F,G,H
6.0,12972,13843,13580,12993,14567,14510,14528,14394
14.0,13824,14876,14638,14275,16027,15285,15394,14924
23.0,15087,15959,15259,15127,16872,16109,16983,16307
