,A,B,C,D,E,F,G,H,I,J
4.0,10872,10872,8684,11514,9288,10609,10985,10668,11802,8684
10.0,8627,8627,8941,11815,10554,10886,11129,10950,11787,8941
15.0,8834,8834,9155,12085,9803,11116,11521,11189,9265,9155
