,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,6833932,23324,293,433,3,KKAI
18.0/F中層A,18.0,中層,A,7015592,23944,293,436,3,KKAI
28.0/F高層A,28.0,高層,A,7765379,26503,293,425,3,KKAI
7.0/F低層B,7.0,低層,B,9466467,21369,443,429,3,KKAI
18.0/F中層B,18.0,中層,B,9886874,22318,443,430,3,KKAI
28.0/F高層B,28.0,高層,B,10379933,23431,443,411,3,KKAI
7.0/F低層D,7.0,低層,D,10053692,22292,451,390,3,KKAI
18.0/F中層D,18.0,中層,D,10465455,23205,451,422,3,KKAI
28.0/F高層D,28.0,高層,D,11128876,24676,451,429,3,KKAI
7.0/F低層F,7.0,低層,F,6774635,23605,287,424,3,KKAI
18.0/F中層F,18.0,中層,F,7067662,24626,287,436,3,KKAI
28.0/F高層F,28.0,高層,F,7383362,25726,287,443,3,KKAI
7.0/F低層G,7.0,低層,G,9540774,20786,459,435,3,KKAI
18.0/F中層G,18.0,中層,G,9746406,21234,459,426,3,KKAI
28.0/F高層G,28.0,高層,G,10517526,22914,459,423,3,KKAI
