,A,B,C,D,E,F,G,H,J,K,L,M,N,O
3.0,365,315,315,321,315,315,315,315,405,315,315,401,590,590
6.0,365,315,315,365,315,315,315,315,405,315,315,401,590,640
9.0,365,315,315,365,315,315,315,315,405,315,315,401,590,640
