,G,H,I,J,J2,K,L
2.0,2090880,1924000,1743050,1781640,1547181,1765080,2005080
4.0,2109800,1941600,1758670,1797840,1560303,1780920,2018100
6.0,2129600,1960000,1775710,1815120,1573425,1798200,2041620
