,10,11,12,15,16,23,3,6,APT 8
4.0,27433,27433,27433,28424,25813,27517,27433,27433,27433
6.0,27803,27803,27803,28824,26135,27887,27803,27803,27803
9.0,28358,28358,28358,29413,26644,28444,28358,28358,28358
