,A,B,C,E,F,G,H
4.0,4079790,4295550,4295550,4658940,4264960,4188120,4422210
7.0,4158330,4378150,4378150,4748640,4351660,4268700,4807140
10.0,4236870,4461100,4461100,4838340,4437340,4349280,4898010
