,1,2,3,4,5,6,7,7 & 8,78,8
7.0,13782,13231,13245,13782,13782,13427,13427,13532,13532,13876
14.0,14404,13807,13816,14404,14404,14001,13990,14155,14155,14500
21.0,14577,14368,14387,13374,15710,14578,14576,14777,14777,15630
