,A,B,C,D,E,F,G,H,I
4.0,4848320,4582710,4549500,4876400,5003320,4423410,4463100,5173780,4608800
9.0,4951360,4683690,4650480,4988624,5109532,4700160,4558140,5270680,4775680
14.0,5031040,4774950,4668570,5190026,5190026,4660200,4653720,5410080,4964960
