,A,B,C,D,E,F,G,H,J,K
7.0,7131839,6708860,5736610,6672276,6804193,6829845,5852955,5790054,6047325,6786703
18.0,7388359,6996152,5927112,6910072,7084033,7092778,6070575,5980125,6249600,7169734
31.0,7562676,7287748,6161576,7282906,7209200,7470562,6325395,6235708,6511860,7482805
