,1137,12,1338,15,1548,1648,1739,1843,1846,2042,2136,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,634,837,849,931,941
8.0,9971,10378,11405,10366,10916,10916,10372,11367,11376,10936,9796,9564,9698,9855,9855,9855,9424,9913,10117,10056,10088,10080,10088,9796,9900,11486,10948,10936,11367,10936,11367,11057,10550,11172,10970,10916,11257,10088,9971,11371,10107,11367
14.0,10356,10776,11840,10764,11365,11365,10770,11398,11811,11386,10128,9937,10075,10052,10169,10052,9802,10308,10506,10454,10477,10475,10477,10128,10282,11918,11801,11386,11398,11386,11398,11504,10969,11630,11421,11365,11686,10477,10356,11806,10497,11398
21.0,11284,11768,12073,11756,12016,12016,11762,12041,12052,12032,10890,11766,11126,11766,11763,11763,11985,11757,11392,10902,11416,10911,11416,10890,11059,12392,11959,12032,12041,12032,12041,12057,11778,12239,11973,12016,11961,11416,11284,12047,11438,12041
