,1,10,11,12,3,5,6,7,9,B OF 2
2.0,6129928,4790132,7137692,7326856,4509620,4652798,4847598,4690784,4751172,
4.0,6208888,4853442,7223610,7412052,4507672,4721952,4906038,4907499,4815456,
6.0,6358254,5013665,7418550,7502302,4555398,4885097,5066261,4976166,4879740,
