,1,10,11,12,13,14,15,16,17,19,2,20,21,22,23,24,3,4,5,6,7,8,9,E1,E10,E11,E12,E13,E15,E17,E18,E19,E20,E21,E23,E24,E3,E4,E5,E6,E7,E8,E9
3.0,9144,9559,10129,9919,8981,9825,9856,10229,10384,9663,9450,9775,9699,9776,9702,9467,9714,9910,9961,9690,9830,9804,9745,9665,9804,10129,9919,9790,9856,10384,10129,9776,9776,9776,9702,9776,9714,9665,9919,9764,9804,9804,9804
8.0,9459,10136,10470,10252,9461,10292,10186,10529,10103,10038,9943,10273,10276,10103,,9593,10040,10416,10295,10261,10352,10132,10229,9989,10132,10470,10252,10118,10186,10733,10470,10103,10103,10103,10027,10103,10040,9989,10252,10091,10132,10132,10132
12.0,10242,10347,10963,11000,9722,10868,9588,11032,10358,10600,9537,11333,10534,10592,,10194,10294,10993,11005,10519,10814,10815,10487,10242,10784,10940,10907,10770,10320,11340,10940,10358,11333,10358,10281,10358,10294,10784,11005,10346,10784,10784,10977
