,A,AK,B,C,D,E,F,G,H,J,JK,K
8.0,646,,429,429,427,431,431,429,429,425,1071,646
18.0,646,,429,429,427,431,431,429,429,425,1071,646
28.0,646,,429,429,427,431,431,429,429,425,1071,646
