,A,AB,B,C,D,E,F,G,H
8.0,12539600,38711816,12385775,10876032,10317153,13024640,13159650,12598685,13015616
21.0,13299872,41337010,13220805,11172816,11221210,13494640,13864065,13297060,13034416
34.0,14002240,43938092,14087545,10831968,10997305,14284992,14739110,14141905,13800704
