,A,A-D,ABC,B,C,C & D,D,E,F,G,H
4.0,6996960,,,7524045,7445355,13333250,8594650,6741630,5239060,5365800,4780020
8.0,7150900,,,7720770,7646655,13666080,8813740,6837210,5379242,5509680,4876350
13.0,7371920,,,8346630,7784820,14083120,9087330,7042140,5539450,5678640,5016000
