,1,10,10B,11,12,13,14,14A,15,16,17,2,3,5,6,6B,7,7A,8,9
3.0,710,495,223,520,410,430,399,163,399,440,510,480,480,395,395,185,395,139,395,395
6.0,710,495,223,520,410,430,399,163,399,440,510,480,480,395,395,185,395,139,395,395
10.0,710,495,223,520,410,430,399,163,399,440,510,480,480,395,395,185,395,139,395,395
