,A,B,C,CD,D,E,F,G,H
18.0,7362360,7167744,7610780,15643530,7734878,7576185,7776490,6994753,7323508
34.0,7592778,7531731,7850334,16463790,7997399,7877855,7817230,7897852,7671512
50.0,8048106,8078400,8267746,17185770,8183062,8910142,9061232,8098387,7876844
