,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
4.0,5395800,5739140,4849600,6444790,5112320,6213550,5453760,5621340,5395800,5739140,5067200,6444790,4754240,5757504,5739140,6444790
6.0,5441340,5787780,4893440,6498500,5155520,6319330,5500335,5627800,5441340,5787780,5109760,6498500,4741440,5806400,5787780,6498500
9.0,5513100,5864920,5074240,6583370,5223680,6406250,5057700,5745600,5513100,5685180,5176320,6583370,4853440,5883564,5864920,6583370
